"concept","color","rating_count","mean","standard_deviation"
"sad","#666666",10,"68.00","23.74"
"happy","#66CC66",10,"46.90","37.23"
"lightning","#228B22",9,"3.22","6.63"
"lightning","#6699CC",7,"30.14","27.31"
"justice","#CC9966",8,"18.88","19.67"
"tree","#66CC66",10,"86.20","10.18"
"lightning","#CC9966",7,"14.86","26.07"
"sad","#CCCC66",12,"20.83","24.31"
"angry","#000000",13,"47.23","34.58"
"death","#C299FF",9,"26.00","31.20"
"peach","#004D00",8,"13.75","11.63"
"mango","#0000CD",6,"0.83","2.04"
"sad","#808000",7,"17.43","14.52"
"justice","#66CCCC",14,"45.36","33.60"
"justice","#808000",8,"16.00","15.61"
"tree","#66CCCC",12,"16.58","23.67"
"banana","#FF4500",9,"7.56","9.99"
"tree","#008080",6,"8.00","10.06"
"mango","#00CED1",15,"22.13","30.99"
"lightning","#333333",7,"19.14","25.96"
"happy","#800000",12,"21.25","18.98"
"peach","#ADFF2F",10,"18.20","23.56"
"sad","#99CC66",11,"27.00","28.88"
"sandstorm","#FFC299",11,"54.55","31.47"
"banana","#808000",13,"29.08","29.20"
"tree","#99FF99",9,"65.78","27.68"
"peace","#004D00",12,"50.83","30.03"
"angry","#008080",11,"16.00","22.44"
"sick","#400080",8,"35.75","28.28"
"banana","#800080",5,"17.80","16.95"
"sandstorm","#666666",7,"23.86","28.55"
"sandstorm","#400080",7,"13.00","10.52"
"tree","#CC9966",9,"50.00","31.76"
"death","#804000",13,"44.23","27.72"
"happy","#ADFF2F",13,"49.77","32.03"
"sick","#804000",10,"57.30","25.31"
"safety","#CC9966",9,"19.22","27.60"
"lightning","#66CC66",8,"11.38","15.17"
"death","#99FFFF",7,"7.86","12.21"
"mango","#800080",10,"16.50","18.17"
"lightning","#FF4500",8,"32.00","17.42"
"justice","#00CED1",10,"43.20","31.07"
"sad","#008080",8,"59.75","33.44"
"tree","#800000",7,"15.14","21.54"
"sad","#FF4500",9,"16.78","14.03"
"lightning","#FFFF99",9,"61.22","33.20"
"angry","#FF4500",9,"77.56","22.07"
"sandstorm","#CC6666",12,"36.33","33.01"
"sandstorm","#CC9966",6,"71.33","25.57"
"mango","#400080",7,"7.43","12.27"
